"","�..Name","ABV","Missing.data","IBU","OG","EBC","PH","AttenuationLevel","FermentationTempCelsius","Wyeast.1056...American.Ale","Wyeast.2007...Pilsen.Lager","Wyeast.3711...French.Saison","Wyeast.1272...American.Ale.II"
"1","Buzz",4.5,0,60,1044,20,4.4,75,19,1,0,0,0
"2","Trashy Blonde",4.1,0,41.5,1041.7,15,4.4,76,18,1,0,0,0
"3","Berliner Weisse With Yuzu - B-Sides",4.2,0,8,1040,8,3.2,83,21,1,0,0,0
"4","Pilsen Lager",6.3,0,55,1060,30,4.4,80,9,0,1,0,0
"5","Avery Brown Dredge",7.2,0,59,1069,10,4.4,67,10,0,1,0,0
"6","Electric India",9.2,1,38,1045,15,4.4,88.9,22,0,0,1,0
"7","Fake Lager",4.7,0,40,1046,12,4.4,78,10,0,1,0,0
"8","Bramling X",7.5,0,75,1068,22,4.4,80.9,19,1,0,0,0
"9","Misspent Youth",7.3,0,30,1079,120,4.4,74.7,19,1,0,0,0
"10","Arcade Nation",5.3,0,60,1052,200,4.2,77,19,1,0,0,0
"11","Movember",4.5,0,50,1047,140,5.2,74.5,19,1,0,0,0
"12","Alpha Dog",4.5,0,42,1046,62,4.4,72.8,22,1,0,0,0
"13","Libertine Porter",6.1,0,45,1067,219,4.4,70.1,18,1,0,0,0
"14","AB:06",11.2,0,150,1098,70,4.4,87,17,0,0,0,1
"15","Russian Doll â€“ India Pale Ale",6,0,70,1058,25,5.2,79.3,19,1,0,0,0
"16","Hello My Name Is Mette-Marit",8.2,0,70,1076,70.61615,4.4,83,19,1,0,0,0
"17","Devine Rebel (w/ Mikkeller)",12.5,0,100,1093,36,4.4,68,19,1,0,0,0
"18","Storm",8,0,60,1082,12,4.4,86,19,1,0,0,0
"19","Bad Pixie",4.7,0,45,1047,8,4.4,79,19,1,0,0,0
"20","Skull Candy",3.5,0,33,1038,50,4.4,68.4,19,1,0,0,0
"21","Dog B",15,0,90,1120,100,4.4,98,19,1,0,0,0
"22","HBC 369",6.7,0,67,1013,19,4.4,79.7,19,1,0,0,0
"23","10 Heads High",7.8,0,70,1074,90,4.4,79.7,18,0,0,0,1
"24","Dana - IPA Is Dead",6.7,0,70,1066,30,4.4,77.3,19,1,0,0,0
"25","Nanny State",0.5,0,55,1007,30,4.4,28.6,19,1,0,0,0
"26","Sorachi Ace",7.5,0,75,1068,30,4.4,82.1,19,1,0,0,0
"27","Bourbon Baby",5.8,0,35,1049,44,4.4,90,19,1,0,0,0
"28","Berliner Weisse With Raspberries And Rhubarb - B-Sides",3.6,0,8,1040,70.61615,3.2,83,21,1,0,0,0
"29","Shipwrecker Circus (w/ Oskar Blues)",10.5,0,85,1102,64,4.4,102,21,0,0,0,1
"30","Zephyr",12.5,0,125,1087,40,4.4,81.2,21,0,0,0,1
"31","Kohatu - IPA Is Dead",7.2,0,70,1067,30,4.4,82.1,19,1,0,0,0
"32","Hello My Name is Vladimir",8.2,0,70,1076,16,4.4,83,21,1,0,0,0
"33","AB:17",10.7,0,100,1105,300,4.3,76.2,21,0,0,0,1
"34","Hardcore IPA",9.2,0,125,1085,40,4.4,81.2,21,0,0,0,1
"35","Dog Wired (w/8 Wired)",7.1,0,65,1065,13,4.4,85,9,0,1,0,0
"36","The Physics",5,0,47,1048.5,65,4.4,79.4,19,1,0,0,0
"37","Anarchist Alchemist",16.5,0,20.5,1112,20,4.4,100,20,0,0,0,1
"38","AB:15",12.8,0,50,1096,111,4.4,79.17,21,0,0,0,1
"39","Goldings - IPA Is Dead",6.7,0,70,1066,30,4.4,77.3,19,1,0,0,0
"40","Lost Dog (w/Lost Abbey)",10,0,35,1080,80,4.4,85,19,0,0,0,1
"41","TM10",4.5,1,20,1048,14,4.2,89.6,22,0,0,1,0
"42","Paradox Islay",10,0,55,1090,300,4.4,84.4,21,0,0,0,1
"43","Baby Dogma",4.5,0,35,1048,40,4.4,72.9,19,1,0,0,0
"44","Albino Squid Assasin",7.4,0,65,1069,60,4.2,82.6,18,1,0,0,0
"45","Amarillo - IPA Is Dead",7.2,0,70,1067,30,4.4,82.1,19,1,0,0,0
"46","Black Eyed King Imp",9.5,0,85,1095,250,4.4,76.8,18,0,0,0,1
"47","Prototype 27",9.2,0,149,1083,19.5,4.4,83,19,0,0,0,1
"48","Coffee Imperial Stout",9,0,65,1080,97,4.4,76,19,1,0,0,0
"49","Mandarina Bavaria - IPA Is Dead",7.2,0,100,1064,12,4.4,84,19,1,0,0,0
"50","Dogma",7.5,0,30,1080,46,4.5,70,12,0,1,0,0
"51","Magic Stone Dog (w/Magic Rock & Stone Brewing Co.)",4,1,30,1043,15,4.4,81.4,23,0,0,1,0
"52","AB:08",10.43,0,65,1095,23,4.4,83.2,21,0,0,0,1
"53","Sunk Punk",7.1,0,68,1056,14,4.4,82.1,10,0,1,0,0
"54","Sub Hop",8,0,35,1077,15,4.4,79.2,9,0,1,0,0
"55","Bracken's Porter",5,0,50,1049,110,4.4,79,19,1,0,0,0
"56","Hunter Foundation Pale Ale",5.4,0,35,1050,11.5,4.4,84,19,1,0,0,0
"57","Hype",4.1,0,65,1042,17,4.4,76.2,19,0,0,0,1
"58","Sunmaid Stout",10.2,0,50,1026,197,4.4,74.5,21,0,0,0,1
"59","Pale - Russian Doll",4,0,35,1041,45,5.2,75.6,19,1,0,0,0
"60","Whisky Sour - B-Sides",7,0,20,1081,12,3.2,74,19,0,0,0,1
"61","Black Eyed King Imp - Vietnamese Coffee Edition",12.7,0,85,1113.5,250,5.2,76.8,18,0,0,0,1
"62","Never Mind The Anabolics",6.5,0,35,1050,23,4.4,76,18,1,0,0,0
"63","#Mashtag 2013",7.5,0,50,1070,40,4.4,81.4,21,0,0,0,1
"64","Hobo Pop",4.2,0,50,1042,30,4.4,76.2,19,1,0,0,0
"65","AB:18",11.8,0,80,1096,115,5.2,79.2,20,0,0,0,1
